"bike","date","type"
146,350,"체인"
2718,351,"체인"
4611,351,"기타 "
3517,351,"기타 "
1195,351,"기타 "
2071,351,"단말기"
3097,351,"기타 "
2448,351,"단말기"
2448,351,"잠금장치 불량"
3440,352,"체인"
2942,352,"단말기"
2028,352,"단말기"
153,352,"단말기"
2051,352,"체인"
4332,353,"체인"
543,354,"단말기"
1844,354,"기타 "
1541,354,"기타 "
2488,354,"단말기"
3723,354,"기타 "
2233,354,"기타 "
2961,354,"타이어 "
3810,354,"기타 "
2417,354,"기타 "
2457,354,"안장"
4517,355,"단말기"
2747,355,"기타 "
3975,355,"타이어 "
766,355,"단말기"
4007,355,"체인"
4007,355,"페달"
2163,355,"단말기"
792,355,"타이어 "
4576,355,"체인"
2605,355,"체인"
696,355,"기타 "
1691,356,"체인"
1691,356,"기타 "
1775,356,"기타 "
918,356,"체인"
2474,356,"체인"
2474,356,"파손"
3187,356,"기타 "
1008,357,"타이어 "
614,357,"단말기"
564,357,"체인"
564,357,"페달"
3324,357,"체인"
2053,357,"기타 "
1658,358,"타이어 "
1929,358,"기타 "
1929,358,"파손"
2564,358,"안장"
3540,358,"단말기"
2283,359,"기타 "
3486,359,"기타 "
1782,359,"타이어 "
2662,359,"기타 "
2035,359,"체인"
3988,359,"단말기"
3723,359,"타이어 "
945,360,"타이어 "
945,360,"체인"
945,360,"페달"
627,360,"단말기"
2717,360,"기타 "
3810,360,"기타 "
1082,360,"페달"
1094,360,"페달"
2113,360,"체인"
635,360,"단말기"
635,360,"잠금장치 불량"
4332,361,"기타 "
20,361,"체인"
4908,361,"기타 "
4067,361,"페달"
3788,361,"기타 "
2185,361,"안장"
2331,361,"체인"
2331,361,"페달"
4995,361,"기타 "
4010,361,"체인"
4010,361,"기타 "
3244,361,"타이어 "
108,361,"단말기"
825,362,"타이어 "
825,362,"파손"
4390,362,"타이어 "
1514,362,"체인"
1478,362,"단말기"
1478,362,"잠금장치 불량"
304,362,"타이어 "
2433,363,"단말기"
2433,363,"기타 "
2433,363,"잠금장치 불량"
277,363,"체인"
277,363,"기타 "
277,363,"파손"
2591,363,"기타 "
2281,364,"기타 "
1750,364,"안장"
2424,364,"안장"
4582,364,"타이어 "
2260,364,"안장"
3926,364,"타이어 "
3115,364,"타이어 "
1584,364,"타이어 "
3971,364,"체인"
3971,364,"안장"
4227,364,"체인"
2773,365,"단말기"
2879,365,"기타 "
4413,365,"체인"
104,365,"체인"
3925,365,"안장"
4921,365,"잠금장치 불량"
1094,365,"기타 "
3077,366,"체인"
2485,366,"안장"
3880,366,"기타 "
1585,367,"단말기"
2928,367,"기타 "
3853,367,"체인"
3519,367,"타이어 "
2771,367,"기타 "
1124,367,"기타 "
3022,367,"체인"
616,367,"기타 "
648,367,"타이어 "
3969,367,"단말기"
1699,368,"체인"
2277,368,"타이어 "
4963,368,"기타 "
2377,368,"단말기"
2289,368,"기타 "
2289,368,"파손"
3898,368,"타이어 "
735,368,"타이어 "
2618,368,"체인"
2618,368,"페달"
2697,368,"체인"
4004,368,"단말기"
2793,369,"타이어 "
905,369,"기타 "
614,369,"단말기"
141,369,"기타 "
457,369,"체인"
2547,369,"타이어 "
2496,369,"안장"
4394,369,"체인"
4394,369,"단말기"
3640,369,"단말기"
2421,369,"체인"
270,369,"타이어 "
2227,369,"안장"
1520,369,"타이어 "
3836,370,"기타 "
3049,370,"기타 "
3092,370,"기타 "
3987,370,"단말기"
1115,370,"타이어 "
3849,370,"단말기"
1763,370,"체인"
2340,370,"단말기"
2064,370,"체인"
593,370,"기타 "
627,370,"기타 "
631,370,"단말기"
3840,370,"안장"
3840,370,"파손"
2903,371,"기타 "
3656,371,"단말기"
3987,371,"기타 "
3388,371,"체인"
3388,371,"페달"
3111,371,"타이어 "
3111,371,"기타 "
1101,372,"기타 "
2909,372,"안장"
2680,372,"체인"
4286,372,"단말기"
2255,372,"타이어 "
3147,372,"타이어 "
1457,372,"체인"
974,372,"타이어 "
3041,372,"페달"
2135,372,"체인"
2998,372,"기타 "
4540,372,"타이어 "
2870,372,"단말기"
2204,372,"기타 "
4269,372,"타이어 "
1403,373,"단말기"
3818,373,"기타 "
3818,373,"잠금장치 불량"
1698,373,"기타 "
2768,373,"체인"
3650,373,"안장"
557,373,"기타 "
3238,373,"타이어 "
3566,373,"타이어 "
44,373,"기타 "
3774,373,"단말기"
4453,373,"타이어 "
3029,374,"타이어 "
2403,374,"체인"
2241,374,"단말기"
2241,374,"기타 "
655,374,"단말기"
4017,376,"체인"
3886,376,"안장"
1937,376,"체인"
1937,376,"페달"
3554,376,"체인"
2787,376,"기타 "
2261,376,"타이어 "
3214,376,"체인"
3491,376,"체인"
3491,376,"페달"
1180,376,"기타 "
161,376,"타이어 "
2408,376,"체인"
4273,376,"안장"
3952,377,"체인"
2608,377,"체인"
4494,377,"체인"
4494,377,"파손"
3556,377,"안장"
3938,377,"기타 "
1014,378,"기타 "
1447,378,"체인"
3751,378,"단말기"
1112,378,"체인"
277,378,"체인"
2908,378,"기타 "
3691,378,"기타 "
2766,379,"안장"
2181,379,"기타 "
4953,379,"타이어 "
435,379,"체인"
1079,379,"페달"
1079,379,"단말기"
2595,379,"단말기"
2294,379,"타이어 "
3283,380,"기타 "
586,381,"체인"
2099,381,"타이어 "
3521,381,"체인"
3521,381,"페달"
637,381,"타이어 "
637,381,"파손"
2286,381,"체인"
2286,381,"페달"
3142,382,"단말기"
2651,382,"체인"
3649,382,"체인"
3696,382,"체인"
2765,382,"타이어 "
2765,382,"기타 "
3754,382,"안장"
2066,382,"체인"
2293,382,"타이어 "
4566,382,"안장"
4566,382,"기타 "
71,382,"체인"
71,382,"기타 "
3394,382,"타이어 "
1400,382,"안장"
4347,383,"타이어 "
4347,383,"체인"
4347,383,"안장"
4347,383,"페달"
1725,383,"체인"
1725,383,"파손"
854,383,"체인"
2352,383,"체인"
892,383,"체인"
4478,383,"타이어 "
2290,383,"타이어 "
3363,383,"단말기"
425,384,"페달"
2289,384,"기타 "
966,384,"단말기"
4262,384,"타이어 "
2272,384,"타이어 "
2272,384,"체인"
2272,384,"기타 "
723,384,"체인"
1195,384,"체인"
515,385,"타이어 "
3611,385,"안장"
4410,386,"체인"
2252,386,"타이어 "
3469,386,"단말기"
4602,386,"체인"
4602,386,"페달"
1951,386,"기타 "
3489,387,"타이어 "
4383,387,"단말기"
2504,387,"타이어 "
3625,388,"페달"
1790,388,"기타 "
142,388,"타이어 "
1669,388,"안장"
2365,388,"체인"
2365,388,"페달"
2838,388,"체인"
2409,388,"체인"
4965,389,"기타 "
2921,389,"안장"
2921,389,"파손"
1738,389,"기타 "
2613,389,"기타 "
2154,389,"안장"
1068,389,"타이어 "
3925,389,"단말기"
868,389,"기타 "
4434,390,"기타 "
795,390,"체인"
795,390,"페달"
795,390,"기타 "
2663,390,"단말기"
3169,390,"타이어 "
3169,390,"파손"
592,390,"타이어 "
3343,390,"체인"
3343,390,"파손"
1507,390,"타이어 "
608,390,"단말기"
4302,390,"기타 "
3408,390,"기타 "
3407,390,"기타 "
604,391,"단말기"
3050,391,"기타 "
3050,391,"파손"
4396,391,"체인"
2154,391,"체인"
2154,391,"안장"
2187,391,"기타 "
2187,391,"파손"
5022,391,"타이어 "
3271,391,"단말기"
3687,391,"안장"
4275,392,"타이어 "
4275,392,"파손"
1205,392,"단말기"
1205,392,"잠금장치 불량"
4464,392,"타이어 "
2279,392,"기타 "
4540,392,"기타 "
1696,392,"단말기"
4182,392,"단말기"
1804,392,"페달"
4869,392,"체인"
2379,392,"단말기"
489,392,"체인"
4074,392,"체인"
4074,392,"페달"
2983,392,"안장"
2394,392,"체인"
3202,393,"단말기"
4007,393,"페달"
2950,393,"안장"
4561,393,"안장"
1109,393,"기타 "
4103,393,"체인"
4103,393,"파손"
3719,393,"기타 "
318,394,"체인"
318,394,"페달"
