자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-21745,2020-04-18 14:39:09,104,합정역 1번출구 앞,9,2020-04-18 15:58:35,02058,"노량진동 맥?뎨琯孃?,10""",75,9450.0,
SPB-17743,2020-04-18 15:17:42,420,"서울시 공공자전거 상?究씽?,14""",2020-04-18 16:47:13,00420,서울시 공공자전거 상암센터,22,89,3560.0,
SPB-30628,2020-04-18 16:28:37,1160,"양천향교역 7번?瘦맘?,0""",2020-04-18 18:26:47,01160,양천향교역 7번출구앞,0,118,0.0,
SPB-20658,2020-04-21 16:50:14,1320,"LG베스트샵 ?씨舊?,10""",2020-04-21 17:10:21,00659,제기역1번출구,10,20,1210.0,
SPB-24094,2020-04-21 18:55:10,905,구파발역 2번출구,3,2020-04-21 19:13:57,00951,"연신내역 6?萍瘦맙?,10""",18,2240.0,
SPB-30803,2020-04-23 02:17:06,2102,봉림교 교통섬,0,2020-04-23 02:52:28,2264,"이수역 1번출??,0""",35,0.0,
SPB-21051,2020-04-23 21:49:00,504,"신자초?냅逃릴냈湯?,3""",2020-04-23 21:53:02,00593,자양중앙나들목,1,3,690.0,
SPB-22308,2020-04-24 18:40:42,1218,방이역 4번출구,4,2020-04-24 18:52:08,01212,"송파역 2번 ?瘦맘?,6""",11,1880.0,
SPB-18385,2020-04-25 18:15:25,138,신촌동 제1공영주차장 앞,3,2020-04-25 18:54:30,915,"증산역 4번출??,8""",38,4950.0,
SPB-02896,2020-04-25 22:08:43,1127,화곡역(에이스정형외과앞) 버스정류장,6,2020-04-25 22:40:26,1122,"황금내근?같貶?,8""",30,3910.0,
SPB-14793,2020-04-27 00:53:29,1933,"개봉푸르지오아파트 ?箚?,5""",2020-04-27 01:50:00,00750,연의근린공원 건너편,10,56,2610.0,
SPB-31461,2020-04-27 12:32:42,1152,"마곡역교?湯?,0""",2020-04-27 12:57:15,01184,마곡13단지,0,25,0.0,
SPB-31767,2020-04-29 08:14:20,1182,"KBS 스포츠월??,0""",2020-04-29 09:22:23,02056,동작구민 체육센터,0,68,0.0,
SPB-21515,2020-04-29 16:05:48,1323,월곡역 입구 육교 밑,3,2020-04-29 16:08:29,01373,"성북구보건소 ?풍覺?,3""",2,260.0,
SPB-30265,2020-04-29 20:44:12,228,선유도역 3번출구 앞,0,2020-04-29 22:36:08,825,"서빙고동 주민센터 ??,0""",112,0.0,
SPB-34428,2020-05-01 09:47:40,1044,굽은다리역,0,2020-05-01 11:13:47,1044,"굽은다리??,0""",86,0.0,
SPB-32911,2020-05-01 18:55:38,2620,"송파나루역 4번 ?瘦맙?,0""",2020-05-01 21:17:42,01253,오금역 3번 출구 뒤,0,142,0.0,
SPB-33529,2020-05-02 10:39:16,1128,"화곡역 6번?瘦?,0""",2020-05-02 10:48:41,01146,곰달래사거리,0,9,0.0,
SPB-10270,2020-05-02 17:32:17,220,미성아파트 A동 앞,29,2020-05-02 17:37:55,207,"여의나루역 1번출구 ??,11""",5,1080.0,
SPB-32247,2020-05-03 22:09:16,2313,금원빌딩 앞,0,2020-05-04 00:09:05,00626,"군자교 서측 ?裡測?,0""",120,0.0,
SPB-22682,2020-05-04 00:32:40,725,양강중학교앞 교차로,1,2020-05-04 00:44:15,00704,"남부법원검찰청 교차??,10""",11,1390.0,
SPB-32748,2020-05-04 12:46:09,195,"모래내고?≤宕?,0""",2020-05-04 12:58:36,00175,홍연2교옆,0,12,0.0,
SPB-20083,2020-05-04 19:42:16,117,홍은사거리,9,2020-05-04 21:11:00,907,"CJ 드림시??,5""",86,12470.0,
SPB-32832,2020-05-05 18:20:25,186,월드컵공원,0,2020-05-05 20:24:39,00186,"월드컵?貶?,0""",124,0.0,
SPB-30734,2020-05-06 00:39:22,1245,문정 법조단지9,0,2020-05-06 01:05:48,01279,"마천금호어울림 1차아파트 건?覺?,0""",26,0.0,
SPB-31493,2020-05-06 06:26:17,901,"응암1동?濚ゼ?,0""",2020-05-06 06:30:53,00917,녹번역 4번출구,0,5,0.0,
SPB-31077,2020-05-06 18:41:15,1692,"온곡초교 ?냈湯?,0""",2020-05-06 19:24:59,01605,헬스케어,0,44,0.0,
SPB-20815,2020-05-06 20:39:49,943,"은평구청 보건??,7""",2020-05-06 22:39:32,00440,하늘공원 입구,9,111,8720.0,
SPB-33100,2020-05-07 06:54:32,2054,삼익아파트,0,2020-05-07 08:08:06,2003,"사육신공?騙?,0""",74,0.0,
SPB-33891,2020-05-08 15:39:04,470,"회현역 7번?瘦?,0""",2020-05-08 17:01:38,00243,이앤씨드림타워 앞,0,83,0.0,
SPB-32882,2020-05-10 15:36:56,575,중앙농협 중곡지점,0,2020-05-10 17:13:19,02025,"흑석역 1번?瘦?,0""",96,0.0,
SPB-03653,2020-05-10 20:33:04,103,망원역 2번출구 앞,13,2020-05-10 20:56:34,175,"홍연2교??,5""",23,0.0,
SPB-02909,2020-05-12 17:53:08,2020,장승배기역2번출구뒷편쪽,2,2020-05-12 18:18:29,2174,"삼성디지털?조瓚微驩프?,2""",24,2350.0,
SPB-31613,2020-05-14 22:29:50,1729,파리바게트앞,0,2020-05-14 22:34:23,1731,"도봉고등학교 ?쩜뵈?,0""",5,0.0,
SPB-25272,2020-05-14 23:14:36,1212,송파역 2번 출구앞,4,2020-05-14 23:54:38,1251,"석촌역 2번출??,9""",38,4540.0,
SPB-32865,2020-05-16 19:45:38,3511,"응봉역 1?萍瘦?,0""",2020-05-16 20:47:48,01212,송파역 2번 출구앞,0,62,0.0,
SPB-23716,2020-05-17 20:39:45,1127,화곡역(에이스정형외과앞) 버스정류장,2,2020-05-17 21:18:47,713,"양서중학교 ??,17""",36,1910.0,
SPB-33450,2020-05-19 15:43:35,575,"중앙농협 ?煞沮痴?,0""",2020-05-19 16:33:50,03519,용답역 1번 출구,0,50,0.0,
SPB-33803,2020-05-20 01:45:29,234,"영등포구민체육센터 ??,0""",2020-05-20 01:48:40,00254,도림신협 앞,0,3,0.0,
SPB-23411,2020-05-21 08:21:53,1121,가양레포츠센터앞,10,2020-05-21 08:38:36,1117,"스타벅스??,6""",15,2330.0,
SPB-11397,2020-05-23 14:41:04,1438,홈플러스 신내점 앞,12,2020-05-23 14:54:27,1441,"신내능말공??,1""",12,1680.0,
SPB-22925,2020-05-25 18:54:16,1162,공항초등학교건너편,1,2020-05-25 20:49:41,1162,"공?倫茄紵閨낡풍覺?,2""",115,13120.0,
SPB-22403,2020-05-27 20:02:17,1841,가산동 주민센터,1,2020-05-27 20:19:30,2177,"신대방역 2번 ?瘦?,7""",15,2390.0,
SPB-32384,2020-05-28 06:38:34,1162,"공항초?紵閨낡풍覺?,0""",2020-05-28 07:34:15,01106,신방화사거리,0,56,0.0,
SPB-15749,2020-05-28 16:07:50,1906,신도림역 1번 출구 앞,8,2020-05-28 16:15:05,01901,"신도림동주민센터 ??,1""",6,1310.0,
